ID,time,gFx,gFy,gFz,TgF
212,2.17982,-0.2913,0.9364,-0.0796,0.98
213,2.19221,-0.2845,0.9445,-0.0085,0.99
214,2.20293,-0.294,0.9597,0.0648,1.01
215,2.20355,-0.294,0.9597,0.0648,1.01
216,2.21475,-0.3069,0.965,0.1017,1.02
217,2.22695,-0.3162,0.9658,0.0973,1.02
218,2.23715,-0.3194,0.9714,0.0601,1.02
219,2.24678,-0.3104,0.9804,0.0052,1.03
220,2.2582,-0.2791,0.9809,-0.0483,1.02
221,2.26895,-0.2703,0.967,-0.0811,1.01
222,2.28122,-0.3131,0.9475,-0.1192,1.0
223,2.2931,-0.35,0.922,-0.1341,1.0
224,2.30276,-0.4013,0.9013,-0.1394,1.0
225,2.31477,-0.4692,0.8805,-0.1468,1.01
226,2.32552,-0.4858,0.8827,-0.1355,1.02
227,2.33915,-0.4657,0.8927,-0.1079,1.01
228,2.33962,-0.4657,0.8927,-0.1079,1.01
229,2.35379,-0.4516,0.8834,-0.1324,1.0
230,2.36028,-0.4753,0.8751,-0.1595,1.01
231,2.3702,-0.5317,0.8795,-0.1878,1.04
232,2.38112,-0.5713,0.8702,-0.2076,1.06
233,2.39241,-0.5537,0.8578,-0.1803,1.04
234,2.40333,-0.499,0.8529,-0.1187,1.0
235,2.41569,-0.4208,0.8529,-0.0698,0.95
236,2.42599,-0.4218,0.8636,-0.063,0.96
237,2.43686,-0.4743,0.8827,-0.0681,1.0
238,2.44835,-0.4958,0.9108,-0.0456,1.04
239,2.46277,-0.4491,0.9274,0.0181,1.03
240,2.46321,-0.4491,0.9274,0.0181,1.03
241,2.47498,-0.4113,0.9384,0.0628,1.03
242,2.48177,-0.3866,0.9555,0.1007,1.04
243,2.49221,-0.3458,0.9677,0.1425,1.04
244,2.50361,-0.3094,0.9667,0.1647,1.03
245,2.51466,-0.325,0.9623,0.1508,1.03
246,2.52594,-0.3859,0.9494,0.1068,1.03
247,2.53659,-0.4589,0.9245,0.053,1.03
248,2.54758,-0.4973,0.9001,0.0045,1.03
249,2.55906,-0.518,0.8798,-0.0442,1.02
250,2.56991,-0.5461,0.89,-0.0796,1.05
251,2.58231,-0.5473,0.9047,-0.1158,1.06
252,2.59526,-0.497,0.9045,-0.1565,1.04
253,2.59604,-0.4841,0.9015,-0.1631,1.04
254,2.60831,-0.4426,0.8844,-0.1825,1.01
255,2.62584,-0.4438,0.8558,-0.2157,0.99
256,2.62634,-0.4438,0.8558,-0.2157,0.99
257,2.63699,-0.4794,0.8409,-0.2316,1.0
258,2.64858,-0.5319,0.8509,-0.2215,1.03
259,2.65972,-0.5559,0.8605,-0.1832,1.04
260,2.66972,-0.5232,0.8592,-0.1521,1.02
261,2.6824,-0.4679,0.8527,-0.1373,0.98
262,2.69574,-0.456,0.8549,-0.1453,0.98
