time,gFx,gFy,gFz,TgF
3.038002,8.0077,-1.6861,3.3408,8.84
3.051725,8.0077,-2.8394,-2.1402,8.76
3.060081,8.0079,-3.8021,-0.2828,8.87
3.070348,6.8978,-4.3484,3.2668,8.78
3.087527,5.6744,-5.2455,2.7823,8.21
3.087783,5.6744,-5.2455,2.7823,8.21
3.104079,3.5710,-4.8854,1.2271,6.17
3.113651,4.0281,-5.0021,1.6529,6.63
3.125012,3.0609,-4.7969,0.6132,5.72
3.137507,2.0896,-4.0706,-0.4526,4.60
3.138017,2.0896,-4.0706,-0.4526,4.60
3.148019,2.2674,-3.7824,-0.0493,4.41
3.159157,1.4249,-3.0522,1.5963,3.73
3.171177,1.0335,-2.4488,1.7446,3.18
3.181424,1.6518,-1.9755,0.4569,2.62
3.194510,3.2502,-0.9327,-2.4532,4.18
3.206942,3.8221,0.5434,-4.4454,5.89
3.215201,4.0313,1.3601,-4.9902,6.56
3.225809,4.6452,2.3604,-4.2316,6.71
3.237968,4.5912,2.6736,-2.3818,5.82
3.248712,3.9074,2.3849,-1.3245,4.77
3.259924,2.1626,1.9556,-0.2870,2.93
3.260338,2.1626,1.9556,-0.2870,2.93
3.269923,0.9482,1.7263,0.5788,2.05
3.281324,0.5022,1.2616,1.5609,2.07
3.292117,0.3416,1.0801,1.8362,2.16
3.306024,-0.1057,1.0676,1.2267,1.63
3.321134,-0.4213,0.9782,0.2959,1.11
3.326526,-0.4980,0.9787,0.0555,1.10
3.336785,-0.5693,0.8162,-0.1499,1.01
3.348601,-1.0223,0.3074,0.0115,1.07
3.359225,-1.5680,0.0309,0.1474,1.58
3.370090,-1.7439,-0.1255,0.2116,1.76
3.381883,-1.6955,-0.1301,-0.0290,1.70
3.392939,-1.4718,0.1102,-0.3723,1.52
3.403259,-1.0135,0.0775,-0.7089,1.24
3.416812,-0.4096,0.2570,-0.9886,1.10
3.417233,-0.4096,0.2570,-0.9886,1.10
3.430507,0.1860,0.3284,-1.0551,1.12
3.438101,0.3021,0.3172,-1.0468,1.13
3.448673,0.1474,0.3321,-0.9464,1.01
3.460261,-0.2222,0.3328,-0.5511,0.68
3.471323,-0.4008,0.0922,-0.0261,0.41
3.483639,-0.5742,-0.0886,0.3594,0.68
3.494908,-0.8070,-0.2420,0.6948,1.09
3.504712,-0.7745,-0.4079,0.6115,1.07
3.515320,-0.6123,-0.5503,0.3359,0.89
3.527556,-0.3956,-0.6976,-0.1414,0.81
3.538303,-0.0976,-0.8110,-0.3781,0.90
3.538824,-0.0976,-0.8110,-0.3781,0.90
3.552184,0.0913,-0.6068,0.0428,0.62
3.562672,0.5039,-0.5037,0.4715,0.85
3.570427,1.0093,-0.3295,0.7908,1.32
3.581870,1.4446,-0.0842,0.8526,1.68
3.593111,1.7757,0.2094,0.5746,1.88
3.605005,1.8634,0.3890,0.1044,1.91
3.616855,1.9005,0.4591,-0.0449,1.96
3.627550,2.0224,0.5111,0.3528,2.12
3.639390,2.2240,0.4554,0.8592,2.43
3.649090,2.3793,0.4344,1.4160,2.80
3.661365,2.4480,0.3817,1.8513,3.09
3.671795,2.3847,0.3448,1.8130,3.02
3.672306,2.3847,0.3448,1.8130,3.02
3.682923,2.0359,0.4862,1.6368,2.66
3.697223,1.9179,0.6765,1.4162,2.48
3.712097,0.8688,1.0510,1.0412,1.72
3.718550,-0.2149,1.5443,1.1810,1.96
3.728011,-1.2336,2.7376,1.8975,3.55
3.737996,-1.2451,4.9834,2.9687,5.93
3.748886,-0.0683,7.4853,4.0854,8.53
3.760520,-0.4872,7.9966,3.9452,8.93
3.770834,-2.3121,7.9966,4.2420,9.34
3.781757,-2.1248,7.9966,7.1284,10.92
3.793564,-1.0662,7.9966,7.9766,11.34
3.804723,-0.3170,7.9966,7.9766,11.30
