time,gFx,gFy,gFz,TgF
3.639846,-0.1584,0.8267,-0.0967,0.85
3.649473,-0.403,0.7515,-0.1309,0.86
3.660452,-0.5774,0.7183,-0.1001,0.93
3.675793,-0.5383,0.5898,0.012,0.8
3.684658,-0.4711,0.4955,-0.0034,0.68
3.695052,-0.4679,0.3714,-0.1966,0.63
3.707982,-0.5796,0.3264,-0.5051,0.84
3.717913,-0.6433,0.3487,-0.8267,1.1
3.727985,-0.6316,0.3562,-1.0441,1.27
3.740782,-0.5823,0.3929,-1.1433,1.34
3.750595,-0.5224,0.4256,-1.1259,1.31
3.761855,-0.4679,0.4464,-1.0514,1.23
3.772355,-0.4814,0.4662,-0.9693,1.18
3.783831,-0.5351,0.5021,-0.7929,1.08
3.784574,-0.5351,0.5021,-0.7929,1.08
3.795352,-0.55,0.5549,-0.6578,1.02
3.805239,-0.5175,0.5959,-0.6388,1.02
3.816803,-0.4005,0.657,-0.6637,1.02
3.827442,-0.2747,0.697,-0.7128,1.03
3.84229,-0.2053,0.7308,-0.8665,1.15
3.854144,-0.2864,0.7598,-0.9075,1.22
3.861361,-0.3238,0.7554,-0.8924,1.21
3.871852,-0.3512,0.7056,-0.8237,1.14
3.883702,-0.4074,0.6599,-0.6566,1.02
3.895391,-0.4474,0.6426,-0.4372,0.9
3.905628,-0.4052,0.6668,-0.2582,0.82
3.917585,-0.3238,0.7244,-0.1167,0.8
3.930323,-0.2512,0.7269,-0.1724,0.79
3.930773,-0.2512,0.7269,-0.1724,0.79
3.938747,-0.2588,0.7452,-0.2433,0.83
3.953173,-0.3355,0.7598,-0.3947,0.92
3.965748,-0.36,0.7242,-0.4805,0.94
3.973291,-0.3666,0.7117,-0.5064,0.95
3.984959,-0.3536,0.7,-0.5296,0.95
3.995547,-0.3087,0.7041,-0.5711,0.96
4.00731,-0.2429,0.7549,-0.5843,0.99
4.017565,-0.1938,0.7659,-0.5733,0.98
4.029854,-0.1772,0.7791,-0.5276,0.96
4.040331,-0.2107,0.8407,-0.49,1
4.05207,-0.2691,0.8864,-0.4912,1.05
4.064942,-0.3348,0.9052,-0.511,1.09
4.065364,-0.3348,0.9052,-0.511,1.09
4.084344,-0.3617,0.9467,-0.4377,1.1
4.085428,-0.3551,0.9435,-0.4223,1.09
4.097474,-0.2982,0.923,-0.3715,1.04
4.107433,-0.2659,0.9306,-0.3603,1.03
